OldValue,NewValue,QID
My Home,My Home,4
Board Game Store,Board Game Store,4
Coffee Shop,Coffee Shop,4
White Knight Games & Hobbies,White Knight Games & Hobbies,4
Public Library,Public Library,4
Catan,Catan,6
Codenames,Codenames,6
The Lord of the Rings: The Card Game,The Lord of the Rings: The Card Game,6
The Witcher: Old World,The Witcher: Old World,6
War of the Ring,War of the Ring,6
Zombicide: Black Plague,Zombicide: Black Plague,6
Abstract,Abstract,7
Customizable,Customizable,7
Family,Family,7
Party,Party,7
Strategy,Strategy,7
Thematic,Thematic,7
Wargames,Wargames,7
"""I would be willing to commit to playing a long game over multiple days.""",Long Game,9
"""I would be willing to participate in a tournament that lasts for multiple days.""",Tournament,9
Apples to Apples,Apples to Apples,10
Bang,Bang,10
Boggle,Boggle,10
Dutch Blitz,Dutch Blitz,10
Canasta,Canasta,10
Charades,Charades,10
Cribbage,Cribbage,10
Dominion,Dominion,10
Hanabi,Hanabi,10
Mage Knight Board Game,Mage Knight Board Game,10
Monopoly,Monopoly,10
Phase 10,Phase 10,10
Pictionary,Pictionary,10
Race for the Galaxy,Race for the Galaxy,10
Rescuing Robinhood,Rescuing Robinhood,10
RummiKub,RummiKub,10
Small World,Small World,10
St. Petersburg,St. Petersburg,10
Taboo,Taboo,10
Ticket to Ride,Ticket to Ride,10
True Colors,True Colors,10
Ultimate Werewolf,Ultimate Werewolf,10
Uno,Uno,10
Halibut in Lemon Wine Sauce,Halibut in Lemon Wine Sauce,11
Hot Crab Dip,Hot Crab Dip,11
Peanut Butter Hummus,Peanut Butter Hummus,11
Rosemary Pork and Mushrooms,Rosemary Pork and Mushrooms,11
Spaghetti and Classic Marinara Sauce,Spaghetti and Classic Marinara Sauce,11
Spinach Dip,Spinach Dip,11
Sweet Potato Casserole,Sweet Potato Casserole,11
Avocado,Avocado,12
Bananas,Bananas,12
Canola Oil,Canola Oil,12
Dairy,Dairy,12
Gluten,Gluten,12
Meat,Meat,12
Peanuts,Peanuts,12
Pineapple,Pineapple,12
Potatoes,Potatoes,12
Pumpkin Seeds,Pumpkin Seeds,12
Shellfish,Shellfish,12
Tree Nuts,Tree Nuts,12
Vegetable Oil,Vegetable Oil,12
Baked Goods,Baked Goods,13
Beer,Beer,13
Bubbly Water,Bubbly Water,13
Cheese,Cheese,13
Chips,Chips,13
Deviled Eggs,Deviled Eggs,13
Drinks,Drinks,13
Fruit,Fruit,13
Guacamole,Guacamole,13
Kombucha,Kombucha,13
Meat,Meat,13
Nachos,Nachos,13
Popcorn,Popcorn,13
Salad,Salad,13
Salsa,Salsa,13
Tea,Tea,13
Veggies,Veggies,13
Wine,Wine,13
Google Groups,Google Groups,16
Google Chat,Google Chat,16
Slack,Slack,16
Discord,Discord,16
Facebook Groups,Facebook Groups,16
Meetup,Meetup,16
