ID,Name,Question
0,Timestamp,Timestamp
1,Email,Email  Address
2,Name,What is your name?
3,Status,You are currently in my tabletop gaming group. What would you like your status to be?
4,Location,Where would you be willing to play games?
5,Availability,What times are you possibly available to play games?
6,Games,Which of my games are you interested in playing?
7,Game_Types,What types of games do you enjoy playing?
8,Max_Hours,What is the maximum number of hours you are willing to play a game in one sitting?
9,Commitment,Would you be willing to partake in a game commitment over multiple days?
10,Guest_Games,"Are there games that you own and know how to play that you would enjoy bringing for game events? If so, which games would you enjoy bringing?"
11,Meals,Which of my meals would you be willing to eat at events?
12,Allergies,What are your food allergies and restrictions?
13,Guest_Food,What food and/or drinks would you be willing to bring to gaming events?
14,Earliest_Invite,What is the earliest time you would like to receive invitations to game events?
15,Latest_Invite,What is the latest time you would like to receive invitations to game events?
16,Platforms,Which of these group communication platforms would you be willing to use?
